1;Kesulitan Tidur
2;Mendengar Suara Aneh
3;Sering atau mudah menangis
4;Kehilangan Minat Untuk Melakukan Aktivitas
5;Emosi Menjadi Datar
6;Ingatan Terganggu
7;Menjauh Dari Lingkungan sekolah
8;Pikiran dan Berbicara Kacau
9;Rasa Takut dan Khawatir Berlebihan
10;Mimpi Buruk
11;Sering merasa sedih
12;Mempercayai sesuatu yang tidak nyata
13;Sulit mengendalikan emosi
14;Diliputi perasaan bersalah berlebihan
15;perasaan bermusuhan
16;menghindari sebuah Objek atau Tempat
17;Kehilangan Motivasi
18;Sering Cemas
19;Moody
20;Perasaan Putus Asa
21;Kurangnya Daya Ingat
22;Bicara Terlalu Cepat
23;Gangguan Pernafasan
24;Gerakan Tubuh dan Pikiran yang lamban
